module,type,name,res_id,src,value,comments
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_template_db_ids,Template Database,Base de Dados Template,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.oauth_application_form,Template Database,Base de Dados Template,
saas_portal,code,addons/saas_portal/models/saas_portal.py,337,Template for db name is not configured,Template for db name is not configured,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_templates,Templates,Modelos,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_templates,Templates,Modelos,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_databases_filter,Templates,Modelos,
saas_portal,selection,"saas_portal.plan,lang",0,Thai / ภาษาไทย,Thai / ภาษาไทย,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.information,The database is creating...,O banco de dados está criando...,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.try_trial,The database is creating...,O banco de dados está criando...,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_subscription_log_reason,The reason of expiration change,O motivo da mudança de expiração,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_subscription_wizard_reason,The reason of expiration change,O motivo da mudança de expiração,
saas_portal,code,addons/saas_portal/controllers/main.py,85,There is no plan configured,Não há nenhum plano configurado,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.action_database_form,This sections allows execute special commands on client. Ask developers for instructions.,Estas seções permitem a execução de comandos especiais no cliente. Peça aos desenvolvedores instruções.,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.action_database_form,This sections allows to limit number of records in arbitrary model on client. Ask developers for instructions.,Esta seção permite limitar o número de registros em modelo arbitrário no cliente. Peça aos desenvolvedores instruções.,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_tz,TimeZone,Fuso Horário,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_token_ids,Tokens,Tokens,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_token_ids,Tokens,Tokens,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_token_ids,Tokens,Tokens,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_total_storage_limit,Total storage limit (MB),Limite de armazenamento total (MB),
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_trial,Trial,Trial,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.try_trial,Try trial,Exprimentar Trial,
saas_portal,selection,"saas_portal.plan,lang",0,Turkish / Türkçe,Turkish / Türkçe,
saas_portal,selection,"saas_portal.plan,lang",0,Ukrainian / українська,Ukrainian / українська,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_uninstall_addons,Uninstall Addons,Desinstalar Módulos,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_update_addons_list,Update Addon List,Update da Lista de Módulos,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_update_addons,Update Addons,Update Módulos,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_upgrade_clients,Upgrade Clients,Upgrade Cliente,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_config_settings_module_saas_portal_sale_online,Use saas_portal_sale_online module,Use saas_portal_sale_online module,
